"#","Embroidermodder 2 CSV Embroidery File"
"#","http://embroidermodder.github.io"

"#","General Notes:"
"#","This file can be read by Excel or LibreOffice as CSV (Comma Separated Value) or with a text editor."
"#","Lines beginning with # are comments."
"#","Lines beginning with > are variables: [VAR_NAME], [VAR_VALUE]"
"#","Lines beginning with $ are threads: [THREAD_NUMBER], [RED], [GREEN], [BLUE], [DESCRIPTION], [CATALOG_NUMBER]"
"#","Lines beginning with * are stitch entries: [STITCH_TYPE], [X], [Y]"

"#","Stitch Entry Notes:"
"#","STITCH instructs the machine to move to the position [X][Y] and then make a stitch."
"#","JUMP instructs the machine to move to the position [X][Y] without making a stitch."
"#","TRIM instructs the machine to cut the thread before moving to the position [X][Y] without making a stitch."
"#","COLOR instructs the machine to stop temporarily so that the user can change to a different color thread before resuming."
"#","END instructs the machine that the design is completed and there are no further instructions."
"#","UNKNOWN encompasses instructions that may not be supported currently."
"#","[X] and [Y] are absolute coordinates in millimeters (mm)."

"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","4720"
">","THREAD_COUNT:","13"
">","EXTENTS_LEFT:","-58.300000"
">","EXTENTS_TOP:","-51.900000"
">","EXTENTS_RIGHT:","35.000000"
">","EXTENTS_BOTTOM:","15.900000"
">","EXTENTS_WIDTH:","93.300000"
">","EXTENTS_HEIGHT:","67.800000"

"#","[THREAD_NUMBER]","[RED]","[GREEN]","[BLUE]","[DESCRIPTION]","[CATALOG_NUMBER]"
"$","1","186","152","0","(null)","(null)"
"$","2","239","227","185","(null)","(null)"
"$","3","0","135","119","(null)","(null)"
"$","4","178","118","36","(null)","(null)"
"$","5","209","84","0","(null)","(null)"
"$","6","42","19","1","(null)","(null)"
"$","7","42","19","1","(null)","(null)"
"$","8","47","126","32","(null)","(null)"
"$","9","47","126","32","(null)","(null)"
"$","10","168","222","235","(null)","(null)"
"$","11","168","222","235","(null)","(null)"
"$","12","178","118","36","(null)","(null)"
"$","13","178","118","36","(null)","(null)"

"#","[STITCH_TYPE]","[X]","[Y]"
"*","STITCH","-29.000000","-25.700000"
"*","STITCH","-30.800000","-24.300000"
"*","STITCH","-32.500000","-25.700000"
"*","STITCH","-30.800000","-26.800000"
"*","STITCH","-29.100000","-27.800000"
"*","STITCH","-25.500000","-25.900000"
"*","STITCH","-29.900000","-28.400000"
"*","STITCH","-25.800000","-25.400000"
"*","STITCH","-31.300000","-28.200000"
"*","STITCH","-26.700000","-25.200000"
"*","STITCH","-31.900000","-27.900000"
"*","STITCH","-27.200000","-25.000000"
"*","STITCH","-32.900000","-27.700000"
"*","STITCH","-27.800000","-24.600000"
"*","STITCH","-33.200000","-27.100000"
"*","STITCH","-28.200000","-24.500000"
"*","STITCH","-33.700000","-26.800000"
"*","STITCH","-28.900000","-24.400000"
"*","STITCH","-27.200000","-24.500000"
"*","STITCH","-25.100000","-24.700000"
"*","STITCH","-23.200000","-25.600000"
"*","STITCH","-21.500000","-25.900000"
"*","STITCH","-24.500000","-26.900000"
"*","STITCH","-20.600000","-24.600000"
"*","STITCH","-24.200000","-26.500000"
"*","STITCH","-21.200000","-24.400000"
"*","STITCH","-27.000000","-27.100000"
"*","STITCH","-20.900000","-23.600000"
"*","STITCH","-27.300000","-26.600000"
"*","STITCH","-20.900000","-23.300000"
"*","STITCH","-27.900000","-26.700000"
"*","STITCH","-21.900000","-23.100000"
"*","STITCH","-25.400000","-24.800000"
"*","STITCH","-29.800000","-26.700000"
"*","STITCH","-24.500000","-23.600000"
"*","STITCH","-29.200000","-26.000000"
"*","STITCH","-25.300000","-23.600000"
"*","STITCH","-28.900000","-25.600000"
"*","STITCH","-26.000000","-23.500000"
"*","STITCH","-30.400000","-25.400000"
"*","STITCH","-25.700000","-22.700000"
"*","STITCH","-31.800000","-25.200000"
"*","STITCH","-25.500000","-21.800000"
"*","STITCH","-31.100000","-24.600000"
"*","STITCH","-24.900000","-20.900000"
"*","STITCH","-31.200000","-24.000000"
"*","STITCH","-25.700000","-20.900000"
"*","STITCH","-31.800000","-23.800000"
"*","STITCH","-25.500000","-20.100000"
"*","STITCH","-32.300000","-23.400000"
"*","STITCH","-25.500000","-19.700000"
"*","STITCH","-30.400000","-21.700000"
"*","STITCH","-32.500000","-22.900000"
"*","STITCH","-27.700000","-20.300000"
"*","STITCH","-25.200000","-19.100000"
"*","STITCH","-29.300000","-20.900000"
"*","STITCH","-33.100000","-22.800000"
"*","STITCH","-30.700000","-21.300000"
"*","STITCH","-25.400000","-18.700000"
"*","STITCH","-28.100000","-19.800000"
"*","STITCH","-34.100000","-22.300000"
"*","STITCH","-30.800000","-20.800000"
"*","STITCH","-25.200000","-17.800000"
"*","STITCH","-32.700000","-21.300000"
"*","STITCH","-26.100000","-17.700000"
"*","STITCH","-33.400000","-21.200000"
"*","STITCH","-26.900000","-17.600000"
"*","STITCH","-33.800000","-20.800000"
"*","STITCH","-27.700000","-17.500000"
"*","STITCH","-32.900000","-20.000000"
"*","STITCH","-28.200000","-17.400000"
"*","STITCH","-31.500000","-18.900000"
"*","STITCH","-27.800000","-17.200000"
"*","STITCH","-26.000000","-15.500000"
"*","STITCH","-30.600000","-18.200000"
"*","STITCH","-25.200000","-15.600000"
"*","STITCH","-29.000000","-18.000000"
"*","STITCH","-24.900000","-15.900000"
"*","STITCH","-30.600000","-19.100000"
"*","STITCH","-24.000000","-15.700000"
"*","STITCH","-29.700000","-19.000000"
"*","STITCH","-23.400000","-15.800000"
"*","STITCH","-28.300000","-19.000000"
"*","STITCH","-22.600000","-15.500000"
"*","STITCH","-27.000000","-18.900000"
"*","STITCH","-22.100000","-15.600000"
"*","STITCH","-27.700000","-19.700000"
"*","STITCH","-22.000000","-16.100000"
"*","STITCH","-26.000000","-19.400000"
"*","STITCH","-22.000000","-16.800000"
"*","STITCH","-27.300000","-20.800000"
"*","STITCH","-21.500000","-17.000000"
"*","STITCH","-27.700000","-21.400000"
"*","STITCH","-25.200000","-19.900000"
"*","STITCH","-21.100000","-17.300000"
"*","STITCH","-22.900000","-18.900000"
"*","STITCH","-27.700000","-22.000000"
"*","STITCH","-24.700000","-20.300000"
"*","STITCH","-20.900000","-17.400000"
"*","STITCH","-24.700000","-20.600000"
"*","STITCH","-25.700000","-22.900000"
"*","STITCH","-23.500000","-21.500000"
"*","STITCH","-25.700000","-23.600000"
"*","STITCH","-22.800000","-22.500000"
"*","STITCH","-25.300000","-24.700000"
"*","STITCH","-22.800000","-24.100000"
"*","STITCH","-19.600000","-24.000000"
"*","STITCH","-17.700000","-23.600000"
"*","STITCH","-21.200000","-25.300000"
"*","STITCH","-16.200000","-22.600000"
"*","STITCH","-21.700000","-24.900000"
"*","STITCH","-16.300000","-21.900000"
"*","STITCH","-22.000000","-24.500000"
"*","STITCH","-15.600000","-21.000000"
"*","STITCH","-22.200000","-24.000000"
"*","STITCH","-16.800000","-21.200000"
"*","STITCH","-22.800000","-23.800000"
"*","STITCH","-19.200000","-22.000000"
"*","STITCH","-25.100000","-24.200000"
"*","STITCH","-20.300000","-21.700000"
"*","STITCH","-25.700000","-24.700000"
"*","STITCH","-20.400000","-21.100000"
"*","STITCH","-24.900000","-23.400000"
"*","STITCH","-20.100000","-20.300000"
"*","STITCH","-26.800000","-24.000000"
"*","STITCH","-20.900000","-20.300000"
"*","STITCH","-26.500000","-23.200000"
"*","STITCH","-21.100000","-19.700000"
"*","STITCH","-26.100000","-22.300000"
"*","STITCH","-21.300000","-19.100000"
"*","STITCH","-25.200000","-21.400000"
"*","STITCH","-21.000000","-18.900000"
"*","STITCH","-19.100000","-20.700000"
"*","STITCH","-16.300000","-21.600000"
"*","STITCH","-19.600000","-23.700000"
"*","STITCH","-16.000000","-20.700000"
"*","STITCH","-20.700000","-23.600000"
"*","STITCH","-16.700000","-20.700000"
"*","STITCH","-20.900000","-23.100000"
"*","STITCH","-16.400000","-20.200000"
"*","STITCH","-21.100000","-22.800000"
"*","STITCH","-17.400000","-20.100000"
"*","STITCH","-22.100000","-22.700000"
"*","STITCH","-19.100000","-20.300000"
"*","STITCH","-22.600000","-22.400000"
"*","STITCH","-20.500000","-20.100000"
"*","STITCH","-23.700000","-21.400000"
"*","STITCH","-21.200000","-18.400000"
"*","STITCH","-24.300000","-20.600000"
"*","STITCH","-19.700000","-18.100000"
"*","STITCH","-23.500000","-20.900000"
"*","STITCH","-18.100000","-17.700000"
"*","STITCH","-22.700000","-20.900000"
"*","STITCH","-17.000000","-17.400000"
"*","STITCH","-22.000000","-20.900000"
"*","STITCH","-16.600000","-17.800000"
"*","STITCH","-19.000000","-19.600000"
"*","STITCH","-22.500000","-22.100000"
"*","STITCH","-15.800000","-17.600000"
"*","STITCH","-20.200000","-21.400000"
"*","STITCH","-15.000000","-17.800000"
"*","STITCH","-19.300000","-21.500000"
"*","STITCH","-14.300000","-17.800000"
"*","STITCH","-18.600000","-21.800000"
"*","STITCH","-13.300000","-18.000000"
"*","STITCH","-16.900000","-20.900000"
"*","STITCH","-12.400000","-17.900000"
"*","STITCH","-18.000000","-22.100000"
"*","STITCH","-12.100000","-18.200000"
"*","STITCH","-16.700000","-21.800000"
"*","STITCH","-12.100000","-18.600000"
"*","STITCH","-16.200000","-22.200000"
"*","STITCH","-11.100000","-18.100000"
"*","STITCH","-16.000000","-22.100000"
"*","STITCH","-13.300000","-20.300000"
"*","STITCH","-15.300000","-22.400000"
"*","STITCH","-12.200000","-20.300000"
"*","STITCH","-13.400000","-21.700000"
"*","STITCH","-9.900000","-18.700000"
"*","STITCH","-13.000000","-21.300000"
"*","STITCH","-10.600000","-18.200000"
"*","STITCH","-13.700000","-21.000000"
"*","STITCH","-9.800000","-17.100000"
"*","STITCH","-8.100000","-17.400000"
"*","STITCH","-11.000000","-20.100000"
"*","STITCH","-8.300000","-16.600000"
"*","STITCH","-11.100000","-19.600000"
"*","STITCH","-8.800000","-16.200000"
"*","STITCH","-11.400000","-19.100000"
"*","STITCH","-9.800000","-16.300000"
"*","STITCH","-12.600000","-19.400000"
"*","STITCH","-9.700000","-15.800000"
"*","STITCH","-13.300000","-19.500000"
"*","STITCH","-10.800000","-16.100000"
"*","STITCH","-12.800000","-18.200000"
"*","STITCH","-11.700000","-15.900000"
"*","STITCH","-14.800000","-19.300000"
"*","STITCH","-10.700000","-14.900000"
"*","STITCH","-15.300000","-19.500000"
"*","STITCH","-10.500000","-13.500000"
"*","STITCH","-15.400000","-19.100000"
"*","STITCH","-11.300000","-13.700000"
"*","STITCH","-15.700000","-18.700000"
"*","STITCH","-11.600000","-13.400000"
"*","STITCH","-16.900000","-18.900000"
"*","STITCH","-13.000000","-14.000000"
"*","STITCH","-16.300000","-17.200000"
"*","STITCH","-13.800000","-14.300000"
"*","STITCH","-17.500000","-18.200000"
"*","STITCH","-14.100000","-13.900000"
"*","STITCH","-17.800000","-17.800000"
"*","STITCH","-14.600000","-14.000000"
"*","STITCH","-18.900000","-18.200000"
"*","STITCH","-15.500000","-14.000000"
"*","STITCH","-19.300000","-17.800000"
"*","STITCH","-16.300000","-14.400000"
"*","STITCH","-19.800000","-17.800000"
"*","STITCH","-16.700000","-14.100000"
"*","STITCH","-20.600000","-18.000000"
"*","STITCH","-16.800000","-13.800000"
"*","STITCH","-20.900000","-17.400000"
"*","STITCH","-16.700000","-13.300000"
"*","STITCH","-21.000000","-17.100000"
"*","STITCH","-17.900000","-13.600000"
"*","STITCH","-21.900000","-16.900000"
